Week,Name,Pos,Team,Opp,Projected,Actual,Injury?
3,DeAndre Hopkins,WR,TEN,CLE,13.7,7.8,N
3,Breece Hall,RB,NYJ,NE,10.7,3.7,N
3,George Kittle,TE,SF,NYG,12,16,N
3,Kenneth Walker III,RB,SEA,CAR,15,30.6,N
3,Rachaad White,RB,TB,PHI,12.7,7.2,N
3,Alexander Mattison,RB,MIN,LAC,14.5,17.5,N
3,D.J. Moore,WR,CHI,KC,12.7,13.1,N
3,Chris Godwin,WR,TB,PHI,13.4,8.2,N
3,James Conner,RB,ARI,DAL,13.5,19.6,N
3,Miles Sanders,RB,CAR,SEA,15.7,17.2,N
3,Trevor Lawrence,QB,JAX,HOU,17.6,14.36,N
3,James Cook,RB,BUF,WAS,14.2,13.2,N
3,Mike Williams,WR,LAC,MIN,14,25.1,Y
3,Mike Evans,WR,TB,PHI,14.6,17,N
3,Terry McLaurin,WR,WAS,BUF,12.4,10.1,N
3,Deshaun Watson,QB,CLE,TEN,17.4,21.16,N
3,Tyler Lockett,WR,SEA,CAR,13,8.4,N
3,Javonte Williams,RB,DEN,MIA,14,8.5,N
3,Isiah Pacheco,RB,KC,CHI,14.4,15.8,N
3,Dalvin Cook,RB,NYJ,NE,10.1,5.9,N
3,Jerry Jeudy,WR,DEN,MIA,13.1,13.1,N
3,Drake London,WR,ATL,DET,11,5.1,N
3,George Pickens,WR,PIT,LV,14,11.5,N
3,Marquise Brown,WR,ARI,DAL,12.5,17.1,N
3,Christian Kirk,WR,JAX,HOU,12.1,15.4,N
3,Kirk Cousins,QB,MIN,LAC,19.9,25.68,N
3,D'Andre Swift,RB,PHI,TB,10.4,14.8,N
3,Michael Pittman Jr.,WR,IND,BAL,15.6,16.7,N
3,Dak Prescott,QB,DAL,ARI,17.2,14.36,N
3,Khalil Herbert,RB,CHI,KC,10.4,3.5,N
3,Courtland Sutton,WR,DEN,MIA,11.4,19.1,N
3,Jahan Dotson,WR,WAS,BUF,11.1,4.1,N
3,A.J. Dillon,RB,GB,NO,14,3.3,N
3,Brian Robinson Jr.,RB,WAS,BUF,12.9,7,N
3,Geno Smith,QB,SEA,CAR,16.5,15.44,N
3,Russell Wilson,QB,DEN,MIA,17,14.24,N
3,Tua Tagovailoa,QB,MIA,DEN,20.4,28.36,N
3,Daniel Jones,QB,NYG,SF,15.8,3.98,N
3,Sam Howell,QB,WAS,BUF,15,0.6,N
3,Matthew Stafford,QB,LAR,CIN,15.7,11.46,N
3,Jared Goff,QB,DET,ATL,15.3,18.02,N
3,Jimmy Garoppolo,QB,LV,PIT,14.7,17.66,Y
3,Jordan Love,QB,GB,NO,14,24.26,N
3,Derek Carr,QB,NO,GB,14.3,8.12,Y
3,Mac Jones,QB,NE,NYJ,13.3,13.34,N
3,Baker Mayfield,QB,TB,PHI,14.9,10.04,N
3,Ryan Tannehill,QB,TEN,CLE,13.3,4.16,N
3,Kenny Pickett,QB,PIT,LV,16.1,18.5,N
3,Brock Purdy,QB,SF,NYG,17.6,20.3,N
3,C.J. Stroud,QB,HOU,JAX,14.2,20.6,N
3,Desmond Ridder,QB,ATL,DET,14.3,6.34,N
3,Joshua Dobbs,QB,ARI,DAL,11,17.06,N
3,Raheem Mostert,RB,MIA,DEN,14.1,45.2,N
3,Samaje Perine,RB,DEN,MIA,10,4.4,N
3,Michael Thomas,WR,NO,GB,12.8,11,N
3,Jakobi Meyers,WR,LV,PIT,12.4,15.5,N
3,Nico Collins,WR,HOU,JAX,12.6,5.4,N
3,Gabe Davis,WR,BUF,WAS,11.5,10.3,N
3,Kendrick Bourne,WR,NE,NYJ,10.2,8.6,N
3,Zach Wilson,QB,NYJ,NE,13.4,6.38,N
3,Joshua Kelley,RB,LAC,MIN,14.2,2.7,N
3,Tyler Allgeier,RB,ATL,DET,11.6,4.9,N
3,Kyren Williams,RB,LAR,CIN,18,8.5,N
3,Zack Moss,RB,IND,BAL,13.9,22.5,N
3,Zay Flowers,WR,BAL,IND,12.7,13,N
